,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
BRer3,BRer3,Salumi Beretta,0,0,0,0.001947,0.11716499999999999,live,Food
BRer4,BRer4,Salvation Army,0,0,0,0.061958,1.006993,live,ORGs/Companies
BRer5,BRer5,Sam Ash,0,0,0,0.08499799999999999,4.502618,live,Stores & shops
BRerh,BRerh,Samba Financial Group,0,0,0,0.000637,0.091241,live,Banks
BRer7,BRer7,Sam's Fitness,0,0,0,0.003123,0.12953399999999998,live,Fitness
BRer6,BRer6,Sam's Tailor,0,0,0,0.005323,0.16835000000000003,live,Clothing
BRer9,BRer9,Samyakk,0,0,0,0.0033569999999999997,0.130548,live,Clothing
BRefy,BRefy,Samyang Optics,0,0,0,0.043169,1.329243,live,Cons electronics
BRefb,BRefb,San Benedetto,0,0,0,0.001856,0.113186,live,Drinks
BRefn,BRefn,San Carlo,0,0,0,0.021838,1.30139,live,Food
BRefd,BRefd,San Diego Gas & Electric,0,0,0,0.007948,0.256191,live,Energy
BRefr,BRefr,San Pellegrino ,0.02713,0,0.02713,0.106501,2.844797,live,Drinks
BReff,BReff,SanDisk,0.042768,0,0.042768,0.10113799999999999,2.204082,live,Cons electronics
BRefg,BRefg,Sandoz,0,0,0,0.001563,0.08361199999999999,live,Medicine
BRef8,BRef8,Sandro Paris,0.128411,0,0.128411,0.48836599999999997,11.356707,live,Clothing
BRefe,BRefe,Sanlam,0,0,0,0.009040000000000001,1.14841,live,Financial services
BRefj,BRefj,Sanofi,0,0,0,0.005599,0.16963499999999998,live,Healthcare
